time,pos1,vel1,ace1,pos2,vel2,ace2,pos3,vel3,ace3,pos4,vel4,ace4,pos5,vel5,ace5,pos6,vel6,ace6
0.4,1.59796,-0.410655,1.42592
0.408,1.59472,-0.400343,1.15201
0.416,1.59155,-0.392222,0.878106
0.424,1.58844,-0.386293,0.604199
0.432,1.58537,-0.381118,0.729654
0.44,1.58235,-0.374601,0.899761
0.448,1.57938,-0.366722,1.06987
0.456,1.57648,-0.357483,1.23998
0.464,1.57366,-0.346883,1.41008
0.472,1.57094,-0.334922,1.58019
0.48,1.56831,-0.3216,1.7503
0.488,1.56579,-0.306917,1.9204
0.496,1.5634,-0.29134,1.95762
0.504,1.56113,-0.275604,1.97629
0.512,1.55899,-0.259719,1.99496
0.52,1.55698,-0.243685,2.01363
0.528,1.55509,-0.227501,2.0323
0.536,1.55334,-0.211168,2.05097
0.544,1.55171,-0.194685,2.06964
0.552,1.55022,-0.178054,2.08831
0.56,1.54887,-0.161273,2.10698
0.568,1.54764,-0.144342,2.12565
0.576,1.54656,-0.127262,2.14432
0.584,1.54561,-0.110033,2.16299
0.592,1.5448,-0.0926544,2.18166
0.6,1.54413,-0.0751265,2.20033
0.608,1.5436,-0.0574492,2.219
0.616,1.54321,-0.0396225,2.23767
0.624,1.54296,-0.0216465,2.25634
0.632,1.54286,-0.00352117,2.275
0.64,1.54291,0.0147536,2.29367
 , , , 
0.008,-1.74612,-0.00814685,-1.02152
0.016,-1.74622,-0.0163443,-1.02784
0.024,-1.74638,-0.0245923,-1.03416
0.032,-1.74661,-0.0328908,-1.04048
0.04,-1.74691,-0.04124,-1.0468
0.048,-1.74727,-0.0496397,-1.05312
0.056,-1.7477,-0.05809,-1.05945
0.064,-1.7482,-0.0665908,-1.06577
0.072,-1.74877,-0.0751423,-1.07209
0.08,-1.74941,-0.0837443,-1.07841
0.088,-1.75011,-0.0923968,-1.08473
0.096,-1.75088,-0.1011,-1.09105
0.104,-1.75173,-0.109854,-1.09737
0.112,-1.75264,-0.118658,-1.1037
0.12,-1.75363,-0.127513,-1.11002
0.128,-1.75468,-0.136418,-1.11634
0.136,-1.75581,-0.145374,-1.12266
0.144,-1.75701,-0.154381,-1.12898
0.152,-1.75828,-0.163317,-1.1027
0.16,-1.75962,-0.172023,-1.07393
0.168,-1.76103,-0.1805,-1.04516
0.176,-1.76251,-0.188746,-1.01639
0.184,-1.76405,-0.196762,-0.987618
0.192,-1.76566,-0.204548,-0.958848
0.2,-1.76732,-0.212103,-0.930078
0.208,-1.76905,-0.2195,-0.933772
0.216,-1.77084,-0.227093,-0.964683
0.224,-1.77268,-0.234935,-0.995594
